itemString; itemName; Quantity purchased; Average cost per unit; Total cost; Quantity sold; Average income per unit; Total income; Profit per unit; Total profit
i:33568; Boreanisches Leder; 1509; 1,8449; 2783,9228; 1355; 3,8521; 5219,5600; 2,0072; 2719,7486
i:52764; Umhang - Kritische Trefferwertung; 4; 8,95; 35,8; 4; 12,9634; 51,8536; 4,0134; 16,0536
i:52979; Geschwärzte Drachenschuppe; 256; 4,6003; 1177,6771; 250; 5,7485; 1437,1221; 1,1482; 287,0468
i:21841; Netherstofftasche; 36; 48,8035; 1756,9246; 2; 44,4028; 88,8056; -4,4007; -8,8013
i:52977; Primitive Lederfetzen; 837; 0,6138; 513,7311; 169; 1,4452; 244,2423; 0,8314; 140,5140
i:52752; Armschiene - Kritische Trefferwertung; 14; 3,3032; 46,2455; 14; 19; 266; 15,6968; 219,7545
i:52327; Flüchtige Erde; 74; 4,5516; 336,8213; 74; 5,7265; 423,7646; 1,1749; 86,9433
i:52759; Handschuhe - Große Waffenkunde; 92; 0,7649; 70,3704; 92; 4,1327; 380,2052; 3,3678; 309,8348
i:52555; Hypnotischer Staub; 386; 3,3972; 1311,3320; 165; 4,4810; 739,3597; 1,0837; 178,8162
i:52763; Armschiene - Überragendes Ausweichen; 2; 50; 100; 2; 49,7112; 99,4223; -0,2888; -0,5777
i:62663; Lavaschuppenminestrone; 18; 10,4137; 187,4466; 18; 15,7872; 284,1700; 5,3735; 96,7234
i:8838; Sonnengras; 671; 0,4506; 302,3408; 673; 0,6467; 435,1983; 0,1961; 131,5642
i:52751; Brust - Ausdauer; 25; 7,3798; 184,4944; 25; 11,4; 285,0; 4,0202; 100,5056
i:52765; Brust - Außergewöhnliche Willenskraft; 16; 1,1185; 17,8965; 12; 10,3670; 124,4046; 9,2485; 110,9822
i:3355; Wildstahlblume; 82; 0,8928; 73,2104; 82; 1,4695; 120,4975; 0,5767; 47,2871
i:53068; Lavaschuppenwels; 40; 7,15; 286,00; 40; 9,6876; 387,5040; 2,5376; 101,5040
i:52182; Jaspis; 12; 3,6764; 44,1173; 12; 3,9181; 47,0174; 0,2417; 2,9001
i:2838; Schwerer Stein; 69; 0,0650; 4,4863; 45; 0,1265; 5,6933; 0,0615; 2,7675
i:36912; Saroniterz; 89; 0,9921; 88,2960; 62; 1,9049; 118,1014; 0,9128; 56,5918
i:52179; Alazit; 234; 1,5975; 373,8177; 88; 4,4824; 394,4556; 2,8849; 253,8746
i:36903; Schlangenzunge; 340; 0,3408; 115,8829; 150; 1,1714; 175,7075; 0,8306; 124,5827
i:53066; Schwarzbauchmatschflosser; 104; 0,7987; 83,0668; 104; 1,3724; 142,7296; 0,5737; 59,6628
i:2836; Grober Stein; 43; 0,0312; 1,3437; 43; 0,0696; 2,9908; 0,0383; 1,6471
i:8486; Katzentransportkorb (Cornish Rex); 3; 67,5683; 202,7048; 2; 5,0849; 10,1698; -62,4834; -124,9667
i:8488; Katzentransportkorb (Silberne Tigerkatze); 3; 26,1999; 78,5996; 1; 9,31; 9,31; -16,8899; -16,8899
i:62662; Gegrillter Drache; 18; 0,8333; 14,9994; 18; 1,0022; 18,0396; 0,1689; 3,0402
i:52236; Geläutertes Dämonenauge; 4; 24,1376; 96,5506; 3; 24,222; 72,666; 0,0844; 0,2530
i:14048; Runenstoffballen; 20; 2,8; 56,0; 20; 4,2747; 85,4940; 1,4747; 29,4940
i:52758; Brust - Mächtige Abhärtung; 3; 3,9997; 11,9990; 3; 7,6373; 22,9119; 3,6376; 10,9129
i:62665; Basiliskenleberwurst; 10; 0,9968; 9,9680; 10; 1,8973; 18,9730; 0,9005; 9,0050
i:43126; Meerestinte; 176; 2,7303; 480,5412; 91; 2,8482; 259,1822; 0,1178; 10,7206
i:7912; Robuster Stein; 111; 0,0158; 1,7524; 102; 0,0764; 7,7970; 0,0607; 6,1867
i:52743; Stiefel - Vitalität der Irdenen; 1; 4,9999; 4,9999; 1; 19,9499; 19,9499; 14,9500; 14,9500
i:52226; Mystischer Heliodor; 3; 14,0450; 42,1351; 2; 14,5762; 29,1523; 0,5311; 1,0622
